mm_ss,time_seconds,period_id,type_name,result_name,bodypart_name,player_display,team_name,start_x,start_y,end_x,end_y
0:00,0.92,1,pass,success,foot_right,Marcus Rashford,England,52.9375,33.575,38.0625,40.375
0:02,2.199,1,dribble,success,foot,John Stones,England,38.0625,40.375,38.9375,37.825
0:04,4.36,1,pass,success,foot_right,John Stones,England,38.9375,37.825,45.9375,21.674999999999997
0:05,5.719,1,dribble,success,foot,Phil Jones,England,45.9375,21.674999999999997,48.5625,15.724999999999994
0:07,7.16,1,pass,success,foot_left,Phil Jones,England,48.5625,15.724999999999994,55.5625,7.224999999999994
0:08,8.199,1,dribble,success,foot,Trent Alexander-Arnold,England,55.5625,7.224999999999994,56.4375,4.674999999999997
0:11,11.16,1,pass,success,foot_right,Trent Alexander-Arnold,England,56.4375,4.674999999999997,46.8125,25.075000000000003
0:12,12.599,1,dribble,success,foot,John Stones,England,46.8125,25.075000000000003,50.3125,31.025000000000006
0:14,14.4,1,pass,success,foot_right,John Stones,England,50.3125,31.025000000000006,48.5625,55.675
0:16,16.16,1,dribble,success,foot,Gary Cahill,England,48.5625,55.675,45.9375,62.475
0:18,18.2,1,pass,success,foot_right,Gary Cahill,England,45.9375,62.475,31.937499999999996,51.425
0:19,19.76,1,dribble,success,foot,John Stones,England,31.937499999999996,51.425,25.8125,48.875
0:21,21.4,1,pass,success,foot_right,John Stones,England,25.8125,48.875,6.5625,33.575
0:23,23.679,1,dribble,success,foot,Jordan Pickford,England,6.5625,33.575,8.3125,31.875
0:26,26.04,1,pass,success,foot_left,Jordan Pickford,England,8.3125,31.875,13.562500000000002,12.325000000000003
0:27,27.719,1,dribble,success,foot,Phil Jones,England,13.562500000000002,12.325000000000003,12.6875,11.474999999999994
0:28,28.88,1,pass,success,foot_right,Phil Jones,England,12.6875,11.474999999999994,3.9375,22.525000000000006
0:30,30.159,1,dribble,success,foot,Jordan Pickford,England,3.9375,22.525000000000006,3.9375,18.275000000000006
0:31,31.48,1,pass,fail,foot_right,Jordan Pickford,England,3.9375,18.275000000000006,63.43749999999999,23.375
0:34,34.6,1,pass,fail,foot,Thomas Vermaelen,Belgium,62.5625,25.924999999999997,62.5625,28.475
0:35,35.6,1,dribble,success,foot,Marcus Rashford,England,62.5625,28.474999999999994,64.3125,28.474999999999994
0:36,36.4,1,pass,fail,foot_right,Marcus Rashford,England,64.3125,28.474999999999994,103.6875,17.424999999999997
0:55,55.16,1,pass,fail,foot_left,Thomas Vermaelen,Belgium,87.9375,9.774999999999999,85.3125,8.924999999999997
1:06,66.959,1,throw_in,fail,other,Thomas Vermaelen,Belgium,87.0625,0.42499999999999716,66.0625,2.125
1:08,68.36,1,pass,fail,head,Eric Dier,England,66.0625,2.125,72.1875,0.42499999999999716
1:15,75.92,1,throw_in,success,other,Thomas Vermaelen,Belgium,72.1875,0.42499999999999716,49.4375,2.125
1:17,77.92,1,pass,fail,head,Marouane Fellaini,Belgium,49.4375,3.825000000000003,50.31249999999999,17.424999999999997
1:19,79.56,1,pass,success,foot_right,Fabian Delph,England,50.3125,17.424999999999997,75.6875,12.325000000000003
1:22,82.76,1,pass,fail,foot,Jamie Vardy,England,74.8125,12.325000000000003,71.3125,11.474999999999994
1:23,83.627,1,interception,success,foot,Mousa Dembélé,Belgium,71.3125,11.475000000000001,71.3125,11.475000000000001
1:23,83.9335,1,dribble,success,foot,Thorgan Hazard,Belgium,71.3125,11.475000000000001,73.0625,2.9749999999999943
1:24,84.24,1,pass,success,foot_right,Thorgan Hazard,Belgium,73.0625,2.9749999999999943,72.1875,7.225000000000001
1:25,85.24,1,dribble,success,foot,Mousa Dembélé,Belgium,72.1875,7.225000000000001,68.6875,3.825000000000003
1:26,86.88,1,pass,success,foot_left,Mousa Dembélé,Belgium,68.6875,3.825000000000003,70.4375,2.125
1:27,87.48,1,dribble,success,foot,Thorgan Hazard,Belgium,70.4375,2.125,72.1875,2.125
1:28,88.6,1,pass,fail,foot_right,Thorgan Hazard,Belgium,72.1875,2.125,102.8125,14.875
1:32,92.44,1,cross,fail,foot_right,Jamie Vardy,England,102.8125,14.875,102.8125,30.174999999999997
1:33,93.32,1,clearance,success,foot,Thibaut Courtois,Belgium,102.8125,30.174999999999997,83.5625,36.125
1:35,95.0,1,dribble,success,foot,Fabian Delph,England,83.5625,36.125,85.3125,34.425
1:36,96.16,1,take_on,fail,foot,Fabian Delph,England,85.3125,34.425,85.3125,34.425
1:36,96.947,1,pass,success,foot_left,Thorgan Hazard,Belgium,87.0625,27.625,82.6875,31.025
1:37,97.48,1,dribble,success,foot,Marouane Fellaini,Belgium,82.6875,31.025,79.1875,32.725
1:39,99.84,1,foul,fail,foot,Fabian Delph,England,79.1875,32.724999999999994,79.1875,32.724999999999994
1:41,101.48,1,freekick_short,success,foot_right,Marouane Fellaini,Belgium,79.1875,33.575,64.3125,32.725
1:42,102.68,1,dribble,success,foot,Adnan Januzaj,Belgium,64.3125,32.725,48.5625,20.825000000000003
1:45,105.96,1,pass,success,foot_left,Adnan Januzaj,Belgium,48.5625,20.825000000000003,51.18750000000001,10.625
1:46,106.64,1,dribble,success,foot,Thorgan Hazard,Belgium,51.18750000000001,10.625,50.31249999999999,6.375
1:46,106.8,1,pass,fail,foot_left,Thorgan Hazard,Belgium,50.31249999999999,6.375,48.5625,8.075000000000003
1:47,107.04,1,interception,fail,foot,Trent Alexander-Arnold,England,48.5625,8.075000000000003,48.5625,8.075000000000003
2:03,123.227,1,pass,fail,head,Marouane Fellaini,Belgium,26.6875,18.275,12.6875,29.325000000000003
2:06,126.519,1,dribble,success,foot,Jordan Pickford,England,12.6875,29.325000000000003,10.0625,32.724999999999994
2:13,133.04,1,pass,success,other,Jordan Pickford,England,10.0625,32.724999999999994,16.1875,14.025000000000006
2:14,134.719,1,dribble,success,foot,Phil Jones,England,16.1875,14.025000000000006,18.8125,12.325000000000003
2:15,135.96,1,pass,success,foot_right,Phil Jones,England,18.8125,12.325000000000003,29.3125,2.9749999999999943
2:16,136.959,1,dribble,success,foot,Trent Alexander-Arnold,England,29.3125,2.9749999999999943,28.437499999999996,2.9749999999999943
2:17,137.52,1,pass,success,foot_right,Trent Alexander-Arnold,England,28.437499999999996,2.9749999999999943,17.0625,9.775000000000006
2:18,138.999,1,dribble,success,foot,Phil Jones,England,17.0625,9.775000000000006,18.8125,11.474999999999994
2:20,140.6,1,pass,success,foot_right,Phil Jones,England,18.8125,11.474999999999994,7.4375,33.575
2:23,143.2,1,dribble,success,foot,Jordan Pickford,England,7.4375,33.575,7.4375,40.375
2:25,145.16,1,pass,fail,foot_left,Jordan Pickford,England,7.4375,40.375,71.3125,41.225
2:29,149.0,1,pass,success,head,Leander Dendoncker,Belgium,71.3125,41.224999999999994,59.0625,35.275000000000006
2:30,150.12,1,pass,success,head,Mousa Dembélé,Belgium,59.9375,35.275000000000006,51.18750000000001,30.174999999999997
2:30,150.959,1,dribble,success,foot,Marouane Fellaini,Belgium,51.18750000000001,30.174999999999997,52.0625,28.475
2:31,151.56,1,pass,success,foot_right,Marouane Fellaini,Belgium,52.0625,28.475,56.4375,33.575
2:31,151.999,1,dribble,success,foot,Mousa Dembélé,Belgium,56.4375,33.575,63.4375,42.075
2:41,161.08,1,pass,success,foot_right,Mousa Dembélé,Belgium,63.4375,42.075,63.4375,65.875
2:42,162.36,1,dribble,success,foot,Nacer Chadli,Belgium,63.4375,65.875,68.6875,65.875
2:44,164.12,1,pass,success,foot_right,Nacer Chadli,Belgium,68.6875,65.875,76.5625,60.775000000000006
2:44,164.84,1,dribble,success,foot,Leander Dendoncker,Belgium,76.5625,60.775000000000006,74.8125,58.224999999999994
2:45,165.04,1,pass,fail,foot_right,Leander Dendoncker,Belgium,74.8125,58.224999999999994,46.8125,64.175
2:46,166.72,1,dribble,success,foot,Gary Cahill,England,46.8125,64.175,45.9375,65.875
2:47,167.64,1,pass,success,foot_right,Gary Cahill,England,45.9375,65.875,7.4375,46.325
2:50,170.559,1,dribble,success,foot,Jordan Pickford,England,7.4375,46.325,7.4375,48.025
2:51,171.76,1,pass,success,foot_left,Jordan Pickford,England,7.4375,48.025,18.8125,24.224999999999994
2:53,173.76,1,dribble,success,foot,Phil Jones,England,18.8125,24.224999999999994,22.3125,16.575000000000003
2:55,175.24,1,pass,success,foot_right,Phil Jones,England,22.3125,16.575000000000003,30.187499999999996,3.825000000000003
2:56,176.32,1,dribble,success,foot,Trent Alexander-Arnold,England,30.187499999999996,3.825000000000003,29.3125,2.9749999999999943
2:57,177.04,1,pass,success,foot_right,Trent Alexander-Arnold,England,29.3125,2.9749999999999943,29.3125,23.375
2:58,178.2,1,dribble,success,foot,John Stones,England,29.3125,23.375,29.3125,22.525000000000006
2:58,178.32,1,pass,success,foot_right,John Stones,England,29.3125,22.525000000000006,22.3125,14.025000000000006
2:59,179.56,1,dribble,success,foot,Phil Jones,England,22.3125,14.025000000000006,22.3125,12.325000000000003
3:00,180.4,1,pass,success,foot_right,Phil Jones,England,22.3125,12.325000000000003,22.3125,28.474999999999994
3:01,181.6,1,dribble,success,foot,Eric Dier,England,22.3125,28.474999999999994,22.3125,28.474999999999994
3:03,183.0,1,pass,success,foot_right,Eric Dier,England,22.3125,28.474999999999994,29.3125,59.925
3:05,185.119,1,dribble,success,foot,Gary Cahill,England,29.3125,59.925,28.437499999999996,63.325
3:05,185.88,1,pass,success,foot_right,Gary Cahill,England,28.437499999999996,63.325,35.4375,66.725
3:06,186.76,1,dribble,success,foot,Danny Rose,England,35.4375,66.725,36.3125,66.725
3:07,187.68,1,pass,fail,foot_left,Danny Rose,England,36.3125,66.725,94.9375,52.275
3:12,192.68,1,clearance,success,foot,Dedryck Boyata,Belgium,94.9375,52.275000000000006,89.6875,66.725
3:32,212.88,1,throw_in,success,other,Danny Rose,England,89.6875,66.725,73.9375,66.725
3:34,214.479,1,dribble,success,foot,Gary Cahill,England,73.9375,66.725,72.1875,65.875
3:35,215.32,1,pass,success,foot_right,Gary Cahill,England,72.1875,65.875,76.5625,56.525
3:36,216.079,1,dribble,success,foot,Eric Dier,England,76.5625,56.525,71.3125,59.925
3:36,216.92,1,pass,success,foot_right,Eric Dier,England,71.3125,59.925,58.1875,31.875
3:39,219.279,1,dribble,success,foot,Phil Jones,England,58.1875,31.875,59.0625,25.075000000000003
3:41,221.24,1,pass,success,foot_left,Phil Jones,England,59.0625,25.075000000000003,60.81250000000001,8.075000000000003
3:42,222.799,1,dribble,success,foot,Trent Alexander-Arnold,England,60.81250000000001,8.075000000000003,60.81250000000001,8.924999999999997
3:43,223.88,1,pass,success,foot_right,Trent Alexander-Arnold,England,60.81250000000001,8.924999999999997,63.43749999999999,25.075000000000003
3:45,225.119,1,dribble,success,foot,Eric Dier,England,63.43749999999999,25.075000000000003,61.6875,22.525000000000006
3:46,226.0,1,pass,success,foot_right,Eric Dier,England,61.6875,22.525000000000006,51.1875,19.974999999999994
3:46,226.839,1,dribble,success,foot,Phil Jones,England,51.1875,19.974999999999994,51.1875,19.974999999999994
3:47,227.642,1,pass,success,foot_right,Phil Jones,England,51.1875,19.974999999999994,47.6875,31.875
3:48,228.64,1,dribble,success,foot,John Stones,England,47.6875,31.875,48.5625,34.425
3:50,230.04,1,pass,success,foot_right,John Stones,England,48.5625,34.425,50.3125,64.175
3:51,231.839,1,dribble,success,foot,Gary Cahill,England,50.3125,64.175,49.4375,65.875
3:53,233.04,1,pass,success,foot_right,Gary Cahill,England,49.4375,65.875,65.1875,62.475
3:53,233.96,1,dribble,success,foot,Marcus Rashford,England,65.1875,62.475,64.3125,63.325
3:54,234.4,1,pass,offside,foot_right,Marcus Rashford,England,64.3125,63.325,77.4375,65.025
4:25,265.4,1,freekick_short,success,foot_right,Leander Dendoncker,Belgium,85.3125,53.125,86.1875,41.224999999999994
4:26,266.44,1,dribble,success,foot,Dedryck Boyata,Belgium,86.1875,41.224999999999994,84.4375,39.525000000000006
4:27,267.6,1,pass,success,foot_right,Dedryck Boyata,Belgium,84.4375,39.525000000000006,79.1875,15.725000000000001
4:29,269.28,1,dribble,success,foot,Thomas Vermaelen,Belgium,79.1875,15.725000000000001,79.1875,14.875
4:30,270.6,1,pass,success,foot_left,Thomas Vermaelen,Belgium,79.1875,14.875,99.3125,42.075
4:34,274.16,1,dribble,success,foot,Thibaut Courtois,Belgium,99.3125,42.075,98.4375,45.474999999999994
4:35,275.4,1,pass,success,foot_right,Thibaut Courtois,Belgium,98.4375,45.474999999999994,88.8125,59.925
4:36,276.6,1,dribble,success,foot,Leander Dendoncker,Belgium,88.8125,59.925,85.3125,59.925
4:38,278.16,1,pass,success,foot_right,Leander Dendoncker,Belgium,85.3125,59.925,76.5625,44.625
4:38,278.92,1,dribble,success,foot,Youri Tielemans,Belgium,76.5625,44.625,77.4375,49.724999999999994
4:39,279.92,1,pass,success,foot_right,Youri Tielemans,Belgium,77.4375,49.724999999999994,74.8125,62.474999999999994
4:40,280.8,1,dribble,success,foot,Leander Dendoncker,Belgium,74.8125,62.474999999999994,67.8125,61.625
4:42,282.36,1,pass,fail,foot_right,Leander Dendoncker,Belgium,67.8125,61.625,31.0625,20.825000000000003
4:45,285.52,1,pass,fail,head,Trent Alexander-Arnold,England,31.0625,20.825000000000003,52.9375,20.825000000000003
4:47,287.28,1,dribble,success,foot,Mousa Dembélé,Belgium,52.9375,20.825000000000003,51.18750000000001,13.174999999999997
4:48,288.4,1,pass,success,foot_left,Mousa Dembélé,Belgium,51.18750000000001,13.174999999999997,45.0625,8.075000000000003
4:49,289.039,1,dribble,success,foot,Thorgan Hazard,Belgium,45.0625,8.075000000000003,45.0625,6.375
4:49,289.2,1,pass,success,foot_right,Thorgan Hazard,Belgium,45.0625,6.375,44.18749999999999,14.875
4:50,290.32,1,dribble,success,foot,Marouane Fellaini,Belgium,44.18749999999999,14.875,40.6875,12.325000000000003
4:51,291.4,1,pass,success,foot_right,Marouane Fellaini,Belgium,40.6875,12.325000000000003,37.1875,3.825000000000003
4:52,292.04,1,dribble,success,foot,Thorgan Hazard,Belgium,37.1875,3.825000000000003,38.0625,2.125
4:52,292.12,1,pass,success,foot_right,Thorgan Hazard,Belgium,38.0625,2.125,42.4375,20.825000000000003
4:53,293.159,1,dribble,success,foot,Youri Tielemans,Belgium,42.4375,20.825000000000003,46.8125,20.825000000000003
4:53,293.28,1,pass,success,foot_right,Youri Tielemans,Belgium,46.8125,20.825000000000003,50.31249999999999,8.075000000000003
4:54,294.239,1,dribble,success,foot,Mousa Dembélé,Belgium,50.31249999999999,8.075000000000003,49.4375,4.674999999999997
4:55,295.12,1,pass,success,foot_right,Mousa Dembélé,Belgium,49.4375,4.674999999999997,42.4375,2.125
4:55,295.72,1,dribble,success,foot,Thorgan Hazard,Belgium,42.4375,2.125,42.4375,1.2750000000000057
4:55,295.92,1,pass,success,foot_right,Thorgan Hazard,Belgium,42.4375,1.2750000000000057,60.8125,6.375
4:57,297.36,1,dribble,success,foot,Thomas Vermaelen,Belgium,60.8125,6.375,61.6875,12.325000000000003
5:00,300.08,1,pass,success,foot_left,Thomas Vermaelen,Belgium,61.6875,12.325000000000003,71.3125,30.174999999999997
5:01,301.16,1,dribble,success,foot,Dedryck Boyata,Belgium,71.3125,30.174999999999997,71.3125,30.174999999999997
5:02,302.08,1,pass,success,foot_right,Dedryck Boyata,Belgium,71.3125,30.174999999999997,65.1875,12.325000000000003
5:03,303.16,1,dribble,success,foot,Thomas Vermaelen,Belgium,65.1875,12.325000000000003,62.5625,6.375
5:04,304.8,1,pass,success,foot_left,Thomas Vermaelen,Belgium,62.5625,6.375,44.18749999999999,2.125
5:05,305.92,1,dribble,success,foot,Thorgan Hazard,Belgium,44.18749999999999,2.125,49.4375,2.125
5:08,308.76,1,pass,success,foot_right,Thorgan Hazard,Belgium,49.4375,2.125,66.0625,2.9749999999999943
5:10,310.0,1,dribble,success,foot,Thomas Vermaelen,Belgium,66.0625,2.9749999999999943,66.9375,2.125
5:10,310.32,1,pass,fail,foot_left,Thomas Vermaelen,Belgium,66.9375,2.125,32.8125,10.625
5:12,312.6,1,pass,fail,foot,Phil Jones,England,32.8125,8.924999999999997,38.9375,1.2750000000000057
5:21,321.44,1,throw_in,success,other,Thorgan Hazard,Belgium,33.6875,0.42499999999999716,26.6875,14.024999999999999
5:22,322.52,1,pass,fail,other,Michy Batshuayi,Belgium,25.8125,15.725000000000001,27.5625,24.225
5:23,323.987,1,pass,success,foot_left,Fabian Delph,England,27.5625,24.224999999999994,36.3125,6.375
